Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
bathcountyva.org,,County Government,Virginia,accepted term,"Bath County, VA -- Note added 5/30/14 13:41",http://www.bathcountyva.org/,6/6/13 18:08
baxtercounty.org,,County Government,Arkansas,accepted term,"Baxter County, AR -- Note added 7/17/13 17:21",http://baxtercounty.org/,6/6/13 18:08
bayfieldcounty.org,,County Government,Wisconsin,accepted term,"Bayfield County, WI -- Note added 7/25/14 5:14",http://bayfieldcounty.org/,6/6/13 18:08
bayheadnj.org,,County Government,New Jersey,accepted term,"Bayhead, NH (Ocean County)  -- Note added 6/30/14 12:10",http://bayheadnj.org/bhnj/,6/6/13 18:08
baylorcountytexas.us,,County Government,Texas,accepted term,"Baylor County, TX -- Note added 3/3/15 6:39",http://baylorcountytexas.us/,6/6/13 18:08
bcua.org,,County Government,New Jersey,accepted term,Bergen County Utilities Authority -- Note added 7/23/14 13:06,http://www.bcua.org/,6/6/13 18:08
beachwoodusa.com,,County Government,New Jersey,accepted term,"Borough of Beachwood, NJ ( Ocean County) -- Note added 6/30/14 12:16",http://beachwoodusa.com/,6/6/13 18:08
beadle.sdcounties.org,,County Government,South Dakota,accepted term,"Beadle County, SD -- Note added 2/26/14 19:19",http://beadle.sdcounties.org/,2/26/14 19:19
bearlakecounty.info,,County Government,Idaho,accepted term,"Bear Lake County, ID -- Note added 7/5/13 18:26",http://www.bearlakecounty.info/,6/6/13 18:08
beaver.okcounties.org,,County Government,Oklahoma,accepted term,"Beaver County, OK -- Note added 7/8/13 15:57",http://beaver.okcounties.org/,6/6/13 18:08
beaverheadcounty.org,,County Government,Montana,accepted term,"Beaverhead County, MT -- Note added 11/22/13 12:33",http://beaverheadcounty.org/,6/6/13 18:08
beckham.okcounties.org,,County Government,Oklahoma,accepted term,"Beckham County, OK -- Note added 8/2/13 14:48",http://beckham.okcounties.org/,8/2/13 14:48
bellcountytx.com,,County Government,Texas,accepted term,"Bell County, TX -- Note added 3/3/15 6:41",http://bellcountytx.com/,6/6/13 18:08
belmar.com,,County Government,New Jersey,accepted term,"Belmar, NJ (Monmouth County) -- Note added 6/30/14 12:24",http://belmar.com/,6/6/13 18:08
belmontcountyohio.org,,County Government,Ohio,accepted term,"Belmont County, OH -- Note added 3/10/14 16:31",http://www.belmontcountyohio.org/,6/6/13 18:08
benhillcounty.com,,County Government,Georgia,accepted term,"Ben Hill County, Ga -- Note added 8/25/15 14:09",http://benhillcounty.com/,6/6/13 18:08
bergenfieldboro.com,,County Government,New Jersey,accepted term,"Borough of Bergenfield, NJ (Bergen County) -- Note added 6/30/14 12:26",http://bergenfieldboro.com/,6/6/13 18:08
berkeleycountycomm.org,,County Government,West Virginia,accepted term,"Berkeley County, WV -- Note added 7/24/14 5:22",http://berkeleycountycomm.org/,6/6/13 18:08
bernardsvilleboro.org,,County Government,New Jersey,accepted term,"Borough of Bernardsville, NJ (Somerset County -- Note added 7/3/14 17:21",http://www.bernardsvilleboro.org/,6/6/13 18:08
berriencounty.org,,County Government,Michigan,accepted term,"berrien county, mi -- Note added 9/2/15 20:01",http://berriencounty.org/,6/6/13 18:08
bexar.org,,County Government,Texas,accepted term,"Bexar County, TX -- Note added 3/3/15 6:43",http://www.bexar.org/,6/6/13 18:08
bienvilleparish.org,,County Government,Louisiana,accepted term,Bienville Parish (LA) Clerk's Office -- Note added 8/13/14 17:25,http://clerk.bienvilleparish.org,6/6/13 18:08
bigstonecounty.org,,County Government,Minnesota,accepted term,"Big Stone County, MN -- Note added 3/24/15 1:46",http://www.bigstonecounty.org/,6/6/13 18:08
blackfordcounty.com,,County Government,Indiana,accepted term,"Blackford County, IN -- Note added 7/25/13 14:56",http://blackfordcounty.com/,7/25/13 14:56
bladennc.govoffice3.com,,County Government,North Carolina,accepted term,"Bladen County, NC -- Note added 7/25/13 15:01",http://www.bladennc.govoffice3.com/,6/6/13 18:08
blaine.okcounties.org,,County Government,Oklahoma,accepted term,"Blaine County, OK -- Note added 8/2/13 14:46",http://blaine.okcounties.org/,8/2/13 14:46
blairco.org,,County Government,Pennsylvania,accepted term,"Blair County, PA -- Note added 6/12/13 19:08",http://blairco.org/Pages/default.aspx,6/6/13 18:08
boisecounty.us,,County Government,Idaho,accepted term,"Boise County, ID -- Note added 7/5/13 18:27",http://www.boisecounty.us/,6/6/13 18:08
boonecountyil.org,,County Government,Illinois,accepted term,"Boone County, IL -- Note added 7/1/14 19:20",http://www.boonecountyil.org/,6/6/13 18:08
boonecountyky.org,,County Government,Kentucky,accepted term,"Boone County, ky -- Note added 8/27/15 16:10",http://boonecountyky.org/,6/6/13 18:08
bosquecounty.us,,County Government,Texas,accepted term,"Bosque County, TX -- Note added 3/3/15 6:44",http://bosquecounty.us/,6/6/13 18:08
botco.homestead.com,,County Government,North Dakota,accepted term,"Bottineau County, ND -- Note added 7/18/13 12:53",http://botco.homestead.com/,6/6/13 18:08
bouldercounty.org,,County Government,Colorado,accepted term,"Boulder County, CO -- Note added 1/2/14 14:47",http://www.bouldercounty.org/pages/default.aspx,1/2/14 14:47
boundarycountyid.org,,County Government,Idaho,accepted term,"Boundary County, ID -- Note added 7/5/13 18:27",http://boundarycountyid.org/,6/6/13 18:08
bourboncountyks.org,,County Government,Kansas,accepted term,"Bourbon County, KS -- Note added 3/20/14 17:36",http://bourboncountyks.org/,6/6/13 18:08
bowmannd.com/county,,County Government,North Dakota,accepted term,"Bowman County, ND -- Note added 7/18/13 17:21",http://bowmannd.com/county/,6/6/13 18:08
boxeldercounty.org,,County Government,Utah,accepted term,"Box Elder County, UT -- Note added 8/19/14 5:00",http://www.boxeldercounty.org/,6/6/13 18:08
bradfordcountypa.org,,County Government,Pennsylvania,accepted term,"Bradford County, PA -- Note added 7/5/13 18:25",http://bradfordcountypa.org/,6/6/13 18:08
bradleyco.net,,County Government,Tennessee,accepted term,"Bradley County, TN -- Note added 6/20/14 14:33",http://bradleyco.net/,6/6/13 18:08
brantleycountyga.blogspot.com,,County Government,Georgia,accepted term,"Brantley County, GA -- Note added 7/19/13 17:13",http://brantleycountyga.blogspot.com/,6/6/13 18:08
brazoria-county.com,,County Government,Texas,accepted term,"Brazoria County, TX -- Note added 8/18/14 17:46",http://www.brazoria-county.com/,6/6/13 18:08
brevardcounty.us,,County Government,Florida,accepted term,"Brevard County, FL -- Note added 6/25/13 16:19",http://brevardcounty.us/,6/6/13 18:08
brewstercountytx.com,,County Government,Texas,accepted term,"Brewster County, TX -- Note added 12/4/13 19:10",http://brewstercountytx.com/,6/6/13 18:08
brightok.net/cartercounty,,County Government,Oklahoma,accepted term,"Carter County, OK -- Note added 7/5/13 17:59",http://brightok.net/cartercounty/,6/6/13 18:08
broward.org,,County Government,Florida,accepted term,"Broward County, FL -- Note added 1/6/14 19:08",http://co.broward.fl.us/,6/6/13 18:08
browardchd.org,,County Government,Florida,accepted term,Florida Department of Health in Broward County -- Note added 6/16/15 14:10,http://broward.floridahealth.gov/,6/6/13 18:08
browncountytx.org,,County Government,Texas,accepted term,"Brown County, TX -- Note added 3/3/15 6:47",http://www.browncountytx.org/,6/6/13 18:08
brunsco.net,,County Government,North Carolina,accepted term,"brunswick county, nc -- Note added 9/11/15 18:24",http://www.brunswickcountync.gov/,6/6/13 18:08
brunswickco.com,,County Government,Virginia,accepted term,"Brunswick County, VA -- Note added 6/6/14 13:47",http://www.brunswickco.com/,6/6/13 18:08
bryancountyga.org,,County Government,Georgia,accepted term,"Bryan County, Ga -- Note added 8/25/15 14:17",http://bryancountyga.org/,6/6/13 18:08
buckinghamcountyva.org,,County Government,Virginia,accepted term,"Buckingham County, VA -- Note added 5/30/14 13:48",http://buckinghamcountyva.org/,6/6/13 18:08
buckscounty.org,,County Government,Pennsylvania,accepted term,"Bucks County, PA -- Note added 7/1/14 18:17",http://buckscounty.org/,6/6/13 18:08
bucoks.com,,County Government,Kansas,accepted term,"Butler County, KS -- Note added 6/30/14 6:26",http://www.bucoks.com/,6/6/13 18:08
buffalocounty.com,,County Government,Wisconsin,accepted term,"Buffalo County, WI -- Note added 7/19/13 17:14",http://www.buffalocounty.com/,6/6/13 18:08
bullittcounty.org,,County Government,Kentucky,accepted term,bullit county Travel  -- Note added 8/27/15 16:12,http://www.travelbullitt.org/,6/6/13 18:08
bullochcounty.net,,County Government,Georgia,accepted term,"Bulloch County, Ga -- Note added 8/25/15 14:17",http://bullochcounty.net/,6/6/13 18:08
