Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added,,
cityofpateros.com,,Local Government,,rejected term,"City of Pateros, WA -- Note added 7/24/13 13:53",,6/6/13 18:08,,
cityofpellcity.com,,Local Government,,rejected term,Gambling site. Official city site is epell.net. -- Note added 7/15/13 14:32,,6/6/13 18:08,,
cityofperham.com,,Local Government,,,,,7/24/13 13:49,,
cityofpflugerville.com,,Local Government,,rejected term,"City of Pflugerville, TX -- Note added 7/24/13 13:50",,6/6/13 18:08,,
cityofpointarena.com,,Local Government,,,,,11/10/15 17:21,,
cityofreno.com,,Local Government,,rejected term,"City of Reno, NV -- Note added 11/18/13 16:06",,6/6/13 18:08,,
cityofrogers.org,,Local Government,,rejected term,"City of Rogers, MN -- Note added 4/19/15 23:22",http://www.rogersmn.gov/,6/6/13 18:08,,
cityofsebeka.com,,Local Government,,rejected term,"City of Sebeka, MN -- Note added 4/19/15 23:25",,6/6/13 18:08,,
cityofsherman.com,,Local Government,,,,,8/27/13 17:53,,
cityofsolanabeach.org,,Local Government,,,,,8/27/13 17:54,,
cityofsparks.us,,Local Government,Nevada,,,,6/6/13 18:08,,
cityofstamford.org,,Local Government,,rejected term,"City of Stamford, CT -- Note added 11/18/13 16:06",,6/6/13 18:08,,
cityofvanmeter.com,,Local Government,,rejected term,"City of Van Meter, IA -- Note added 3/24/14 12:26",,3/24/14 12:26,,
cityofwarrenpa.org,,Local Government,,rejected term,"City of Warren, PA -- Note added 11/18/13 16:07",,6/6/13 18:08,,
cityofwendoverutah.com,,Local Government,,,,,7/31/13 14:16,,
cityofwestmorland.net,,Local Government,California,,,,6/6/13 18:08,,
cityofwestsacramento.org,,Local Government,California,,,,6/6/13 18:08,,
cityofwhittier.org,,Local Government,California,,,,6/6/13 18:08,,
cityofwildomar.org,,Local Government,California,,,,6/6/13 18:08,,
cityofwilliams.org,,Local Government,California,,,,6/6/13 18:08,,
cityofwillows.org,,Local Government,California,,,,6/6/13 18:08,,
cityofwindsormo.com,,Local Government,,rejected term,"City of Windsor, MO -- Note added 11/20/13 20:07",,6/6/13 18:08,,
cityofwinona-mn.com,,Local Government,,,,,7/31/13 14:16,,
cityofwinters.org,,Local Government,California,,,,6/6/13 18:08,,
cityofwoodlake.com,,Local Government,California,,,,6/6/13 18:08,,
cityofwoodland.org,,Local Government,California,,,,6/6/13 18:08,,
citysylvaniaga.net,,Local Government,,,,,9/9/13 18:55,,
citywd.govoffice2.com,,Local Government,,,,,7/31/13 18:24,,
clarence.ny.us,,Local Government,,rejected term,"Town of Clarence, NY -- Note added 11/18/13 16:11",,6/6/13 18:08,,
clarencemo.com,,,Missouri,,,,6/6/13 18:08,,
clarkdale.az.us,,Local Government,,rejected term,"Town of Clarkdale, AZ -- Note added 12/13/13 12:58",,6/6/13 18:08,,
clarksdalewebinfo.com,,Local Government,,Deprecated,"Domain no longer owned by city. According to the Wayback Machine, it hasn't been owned by the city in many years. -- Note added 7/23/14 14:57",,6/6/13 18:08,,
claycogov.com,,County Government,,rejected term,Redirects to https://www.claycountymo.gov/  -- Note added 1/14/14 13:00,,6/6/13 18:08,,
clayton-delaware.com,,Local Government,,rejected term,"Redirects to clayton.delaware.gov - Town of Clayton, DE -- Note added 6/7/13 17:12",,6/6/13 18:09,,
clearwatertownshipmn.govoffice2.com,,Local Government,,,,,7/31/13 18:25,,
cliftononline.com,,Local Government,,rejected term,"City Guide Webzine for the City of Clifton, NJ. The official city website is http://cliftonnj.org/.  -- Note added 12/6/13 12:08",,12/6/13 12:04,,
clinton-me.us,,,Maine,,,http://www.clinton-me.us/,6/6/13 18:08,,
clintonct.com,,,,rejected term,Clinton (CT) Chamber of Commerce -- Note added 10/30/15 16:25,http://www.clintonct.com/,10/30/15 16:24,,
clintonmo.com,,,Missouri,,,,6/6/13 18:08,,
cloverdale.net,,,California,,,,6/6/13 18:08,,
cml.org,,,,rejected term,Colorado Municipal League -- Note added 7/17/13 17:13,,6/6/13 18:08,,
cmredevelopment.org,,,,rejected term,Costa Mesa (CA) Redevelopment Agency -- Note added 12/6/13 16:45,,6/6/13 18:08,,
cmrta.org,,,California,,,,6/6/13 18:08,,
co.alameda.ca.us,,County Government,California,,,,6/6/13 18:08,,
co.alleghany.va.us,,,,,,,8/28/13 12:10,,
co.anoka.mn.us,,County Government,,Deprecated,www.co.anoka.mn.us Now redirects to http://www.anokacounty.us.  -- Note added 6/10/15 13:45,,6/10/15 13:45,,
co.baldwin.al.us,,County Government,,rejected term,"Baldwin County, AL -- Note added 11/18/13 16:11",,6/6/13 18:08,,
co.benton.ar.us,,County Government,,rejected term,"Benton County, AR -- Note added 7/17/13 18:35",,6/6/13 18:08,,
co.brazos.tx.us,,County Government,,rejected term,"Brazos County, TX -- Note added 11/18/13 16:13",,6/6/13 18:08,,
co.broward.fl.us,,County Government,Florida,,,,1/6/14 19:07,,
co.cabarrus.nc.us,,,,,,,8/28/13 12:12,,
co.calaveras.ca.us,,,,Redirected,Redirects to http://calaverasgov.us/  -- Note added 11/22/13 14:42,,11/22/13 14:41,,
co.cambria.pa.us,,County Government,,rejected term,"Cambria County, PA -- Note added 11/18/13 16:13",,6/6/13 18:08,,
co.caribou.id.us,,,,,,,7/5/13 18:54,,
co.cattaraugus.ny.us,,,,,,,7/31/13 18:55,,
co.cayuga.ny.us,,,,,,,6/6/13 18:08,,
co.cayuga.ny.us/villageofcato,,Local Government,,Redirected,Redirects to http://www.villageofcatony.com/  -- Note added 12/6/13 16:08,,6/6/13 18:08,,
co.centre.pa.us,,County Government,,rejected term,"Centre County, PA -- Note added 11/18/13 16:17",,6/6/13 18:08,,
co.clackamas.or.us,,,,,,,8/28/13 13:03,,
co.clark.wa.us,,County Government,Washington,Now uses .gov domain,"Clark County, WA -- Note added 11/24/14 7:05",http://www.co.clark.wa.us/,6/6/13 18:08,,
co.contra-costa.ca.us,,County Government,California,,,,6/6/13 18:08,,
co.craven.nc.us,,County Government,,Deprecated,"This URL was previously used for Craven County, NC, but is no longer functional. Craven County now leverages the URL: www.cravencounty.com.  -- Note added 11/18/13 13:33",,6/6/13 18:08,,
co.crow-wing.mn.us,,,,,,,8/28/13 13:04,,
co.custer.id.us,,,,,,,6/6/13 18:08,,
co.davie.nc.us,,County Government,,rejected term,"Davie County, NC -- Note added 11/18/13 16:18",,6/6/13 18:08,,
co.des-moines.ia.us,,,,,,,6/6/13 18:08,,
co.deschutes.or.us,,,,,,,7/31/13 17:14,,
co.dona-ana.nm.us,,,,,,,7/31/13 19:09,,
co.durham.nc.us,,County Government,,rejected term,"Durham County, NC -- Note added 11/18/13 16:19",,6/6/13 18:08,,
co.el-dorado.ca.us,,County Government,,Deprecated,Former county website. See historical snapshot at: http://web.archive.org/web/20120513092721/http://www.co.el-dorado.ca.us/  -- Note added 12/6/13 12:12,,12/6/13 12:12,,
co.escambia.fl.us,,County Government,,Deprecated,Former county website. See historical snapshot at: http://web.archive.org/web/20130404164212/http://www.co.escambia.fl.us/  -- Note added 12/5/13 14:29,,12/5/13 14:27,,
co.fluvanna.va.us,,,,,,,8/2/13 13:50,,
co.frederick.md.us,,County Government,,rejected term,"Frederick County, MD -- Note added 11/18/13 16:48",,6/6/13 18:09,,
co.galveston.tx.us,,County Government,,rejected term,"Galveston County, TX -- Note added 11/18/13 16:51",,6/6/13 18:08,,
co.gaston.nc.us,,,,,,,7/31/13 14:06,,
co.hamilton.tx.us,,,,,,,8/2/13 13:51,,
co.hanover.va.us,,County Government,,rejected term,"Hanover County, VA -- Note added 6/6/14 14:01",http://www.co.hanover.va.us,6/6/13 18:08,,
co.henderson.tx.us,,County Government,,Deprecated,Redirects to http://www.henderson-county.com/  -- Note added 12/6/13 15:38,,12/6/13 15:37,,
co.hertford.nc.us,,County Government,,rejected term,"Hertford County, NC -- Note added 12/6/13 13:56",,6/6/13 18:08,,
co.hill.mt.us,,County Government,,Deprecated,Redirects to http://www.hillcounty.us/  -- Note added 11/22/13 13:23,,8/28/13 13:05,,
co.hinds.ms.us,,County Government,,Deprecated,Domain now redirects to http://www.hindscountyms.com/ -- Note added 7/23/14 15:00,http://www.co.hinds.ms.us/pgs/index.asp,6/6/13 18:08,,
co.humboldt.ca.us,,County Government,California,,,,6/6/13 18:08,,
co.jefferson.co.us,,,,,,,8/28/13 13:06,,
co.johnston.nc.us,,,,,,,7/31/13 16:06,,
co.jones.nc.us,,County Government,,rejected term,"Jones County, NC -- Note added 11/18/13 17:08",,6/6/13 18:08,,
co.lancaster.pa.us/elizabethtwp,,,,,,,11/10/15 20:01,,
co.lewis-clark.mt.us,,County Government,,rejected term,"Lewis and Clark County, MT -- Note added 11/18/13 17:09",,6/6/13 18:08,,
co.loudoun.va.us,,County Government,,rejected term,"Loudoun County, VA -- Note added 12/6/13 12:13",,6/6/13 18:08,,
co.madison.al.us,,County Government,,rejected term,"Madison County, AL -- Note added 11/18/13 17:33",,6/6/13 18:08,,
co.mendocino.ca.us,,County Government,California,,,,6/6/13 18:08,,
co.merced.ca.us,,County Government,California,,,,6/6/13 18:08,,
co.mohave.az.us,,,,,,,8/28/13 13:07,,
co.monterey.ca.us,,County Government,California,,,,6/6/13 18:08,,
co.outagamie.wi.us,,,,Redirected,www.co.outagamie.wi.us redirects to http://www.outagamie.org/  -- Note added 4/2/14 12:51,,8/2/13 13:51,,
co.pueblo.co.us,,,,,,,8/2/13 13:53,,
co.roanoke.va.us,,County Government,,rejected term,"Roanoke County, VA -- Note added 12/6/13 12:15",,6/6/13 18:08,,
co.rockland.ny.us,,,,,,,7/31/13 16:11,,
co.rowan.nc.us,,County Government,,rejected term,"Rowan County, NC -- Note added 11/18/13 17:35",,6/6/13 18:08,,
co.san-bernardino.ca.us,,County Government,,rejected term,"County of San Bernardino, CA -- Note added 1/22/14 17:07",,6/6/13 18:08,,
co.santa-rosa.fl.us,,County Government,,rejected term,"Santa Rosa County, FL -- Note added 12/6/13 12:17",,6/6/13 18:08,,
co.shasta.ca.us,,County Government,California,,,,6/6/13 18:08,,
co.sheboygan.wi.us,,,,,,,1/22/14 17:10,,
co.siskiyou.ca.us,,County Government,California,,,,6/6/13 18:08,,
co.solano.ca.us,,County Government,California,,,,6/6/13 18:08,,
co.st-louis.mn.us,,County Government,,rejected term,"St. Louis County, MN -- Note added 7/23/13 14:21",,7/23/13 14:20,,
co.stanislaus.ca.us,,County Government,California,,,,6/6/13 18:08,,
co.summit.oh.us,,,,,,,9/9/13 18:56,,
co.sutter.ca.us,,County Government,California,,,,6/6/13 18:08,,
co.tompkins.ny.us,,County Government,New York,,,,6/6/13 18:08,,
co.tulare.ca.us,,County Government,,rejected term,"County of Tulare, CA -- Note added 11/18/13 17:37",,6/6/13 18:08,,
co.warren.ny.us,,County Government,,rejected term,"Warren County, NY -- Note added 11/18/13 17:38",,6/6/13 18:08,,
co.washoe.nv.us,,,,,,,9/9/13 18:57,,
co.yavapai.az.us,,,,Redirected,Redirects to http://www.yavapai.us/  -- Note added 11/20/13 18:39,,9/9/13 18:59,,
coachella.org,,,California,,,,6/6/13 18:08,,
coalinga.com,,,California,,,,6/6/13 18:08,,
cocopah.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
cohoctonny.com,,,New York,,,,6/6/13 18:08,,
coic.org,,,,rejected term,"Central Oregon Intergovernmental Council (serving Cook, Deschutes, and Jefferson counties) -- Note added 8/2/13 13:55",,6/6/13 18:08,,
coic2.org,,,,rejected term,"Central Oregon Intergovernmental Council (serving Cook, Deschutes, and Jefferson counties) -- Note added 8/2/13 13:56",,8/2/13 13:56,,
coleraintwp.org,,,,,,,8/2/13 13:57,,
colonial-heights.com,,Local Government,Virgina,rejected term,"City of Colonial Heights, VA -- Note added 11/18/13 17:39",,6/6/13 18:08,,
coloradohistory.org,,,,rejected term,Colorado Historical Society -- Note added 6/25/13 16:26,,6/6/13 18:08,,
comanchenation.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
cometosisterbay.com,,,,rejected term,"Sister Bay Advancement Association. Official website for the Village of Sister Bay, WI, is http://www.sisterbaywi.gov.  -- Note added 8/25/14 14:05",http://www.cometosisterbay.com/,8/25/14 14:05,,
comfrey.govoffice.com,,,,,,,7/31/13 16:12,,
comm-pass.com,,,Massachusetts,,,,6/6/13 18:08,,
concordiamissouri.com,,Local Government,Missouri,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20130531031039/http://concordiamissouri.com/  -- Note added 12/6/13 12:22,,12/6/13 12:22,,
connecticut.org,,State Government,Connecticut,rejected term,State of Connecticut Portal -- Note added 2/4/15 6:58,http://www.ct.gov/,6/6/13 18:08,,
connectkentucky.org,,,,,,,7/5/13 17:36,,
connquest.com,,Local Government,Connecticut,rejected term,"ConnQuest, 'The ultimate unofficial state of Connecticut directory. In addition to links to official state, county, town and city websites, you will also find both essential and practical sites for residents, visitors and for anyone with an interest in the state of Connecticut.' -- Note added 2/9/15 12:39",http://www.connquest.com/,6/6/13 18:08,,
copake.org,,Local Government,,Deprecated,Redirects to http://townofcopake.org/  -- Note added 12/6/13 16:21,,12/6/13 16:20,,
coquilletribe.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
cormoranttownship.govoffice.com,,Local Government,,,,,8/2/13 14:01,,
corning.org,,,California,,,,6/6/13 18:08,,
cornish-maine.org,,,,rejected term,Cornish (Maine) Association of Businesses -- Note added 7/23/13 19:12,,6/6/13 18:08,,
cornwall.govoffice2.com,,,,,,,3/21/14 19:00,,
coronado.ca.us,,,California,,,,6/6/13 18:08,,
coshoctoncityhall.com,,NA,,,"www.coshoctoncityhall.com is a Japanese lanuage website. The official city website is at cityofcoshocton.com. nPer the Wayback Machine, it changed sometime in 2009: http://web.archive.org/web/20090909075636/http://www.coshoctoncityhall.com/ -- Note added 7/24/13 14:03",,6/6/13 18:08,,
costanoanrumsen.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
cottonwood.govoffice2.com,,,,,,,7/31/13 16:13,,
county.org,,,,rejected term,Texas Association of Counties -- Note added 6/25/13 16:16,,6/6/13 18:08,,
countygovt.brevard.fl.us,,County Government,,,,,6/6/13 18:08,,
countyofglenn.net,,County Government,California,,,,6/6/13 18:08,,
countyofkings.com,,County Government,California,,,,6/6/13 18:08,,
countyofplumas.com,,County Government,California,,,,6/6/13 18:08,,
countyofventura.org,,County Government,California,Deprecated,www.countyofventura.org redirects to www.ventura.org. -- Note added 7/22/14 16:58,,7/22/14 16:57,,
countysupervisors.org,,County Government,Arizona,rejected term,County Supervisors Association of Arizona -- Note added 12/13/13 13:03,,6/6/13 18:08,,
covingtonky.com,,Local Government,Kentucky,rejected term,"City of Covington, KY -- Note added 11/18/13 17:44",,6/6/13 18:08,,
cowasuck.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
cowasuckabenaki.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
cowcreek.com,,Native Sovereign Nation,,Redirects to .gov domain.,,,4/6/21 0:00,,
cowlitz.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
creekgov.net,,,,,,,9/9/13 19:02,,
crescentcity.org,,Local Government,California,,,,6/6/13 18:08,,
crosslake.govoffice.com,,,,,,,8/2/13 14:02,,
crossvillealabama.com,,Local Government,,,,,6/6/13 18:08,,
croswell-mich.com,,Local Government,Michigan,Deprecated,Redirects to http://www.cityofcroswell.com/  -- Note added 11/20/13 16:52,,7/19/13 17:43,,
crowtribe.com,,,,rejected term,"Crow Tribe, Aps&aacute;alooke Nation, Crow Agency, MT -- Note added 12/6/13 12:27",,6/6/13 18:08,,
csac.counties.org,,State Government,California,rejected term,California State Association of Counties -- Note added 7/8/13 15:58,,6/6/13 18:08,,
csda.net,,,California,,,,6/6/13 18:08,,
cskt.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
cslib.org,,State Government,Connecticut,Deprecated,Redirects to http://www.ctstatelibrary.org/  -- Note added 12/6/13 15:21,,12/6/13 15:21,,
csmfo.org,,,California,,,,6/6/13 18:08,,
csosa.fed.us,,Federal Government,,,,,6/10/15 13:08,,
csrmf.org,,,California,,,,6/6/13 18:08,,
cssrc.us,,,California,,,,6/6/13 18:08,,
csssa.org,,,California,,,,6/6/13 18:08,,
ctbound.org,,,,Deprecated,Former Travel and Tourism Site for Connecticut. New site is CTVisit.com. -- Note added 6/6/13 19:27,,6/6/13 19:11,,
cudahy.ca.us,,Local Government,California,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20130529073231/http://cityofcudahy.com/  -- Note added 12/6/13 12:34,,12/6/13 12:34,,
culpeper.to,,Local Government,Virgina,rejected term,"Town of Culpeper, VA -- Note added 6/20/14 16:23",,6/17/14 17:36,,
cultureandtourism.org,,,,rejected term,Connecticut Office of Culture and Tourism -- Note added 7/19/13 17:39,,6/6/13 18:08,,
cumtd.com,,,,rejected term,"Champaign-Urbana Mass Transit District, Urbana, IL -- Note added 7/1/14 20:18",http://www.cumtd.com/,6/6/13 18:08,,
cupertino.org,,,California,,,,6/6/13 18:08,,
curyungtribe.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
cvc.vipnet.org,,,,rejected term,Commonwealth of Virginia Campaign -- Note added 12/5/13 14:33,,6/6/13 18:08,,
cwftx.net,,,,rejected term,"Wichita Falls, TX -- Note added 6/6/13 18:09",,6/6/13 18:09,,
dallam.org,,,Texas,,,,6/6/13 18:08,,
dallascityhall.com,,Local Government,Texas,,,,6/6/13 18:08,,
dallascounty.org,,County Government,Texas,,,,6/6/13 18:08,,
dalycity.org,,Local Government,California,,,,6/6/13 18:08,,
danapoint.org,,,California,,,,6/6/13 18:08,,
dansvilleny.org,,Local Government,,Deprecated,Former village website. See historical snapshot at: http://web.archive.org/web/20110514102837/http://dansvilleny.org/  -- Note added 12/6/13 11:57,,12/6/13 11:56,,
danvillevt.com,,Local Government,Vermont,Deprecated,"Former website for the Town of Danville, VT. See historical snapshot at: http://web.archive.org/web/20140517061541/http://danvillevt.com. Official town website now resolves at http://www.danvillevermont.org.  -- Note added 11/21/14 16:17",,11/21/14 16:16,,
dawsoncountymontana.org,,County Government,Montana,Deprecated,Redirects to http://www.dawsoncountymontana.com/  -- Note added 11/22/13 13:04,,7/31/13 16:14,,
dekalbnyhistorian.org,,,New York,,,,6/6/13 18:08,,
delano-ca.org,,Local Government,California,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20121107032243/http://delano-ca.org/  -- Note added 12/6/13 12:37,,12/6/13 12:36,,
delawarenation.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
delreyoaks.org,,,California,,,,6/6/13 18:08,,
delta-junction.org,,Local Government,Alaska,rejected term,"Official website for the City of Delta Junction, AK, is www.ci.delta-junction.ak.us -- Note added 6/7/13 13:18",,6/6/13 18:08,,
deltautah.com,,Local Government,Utah,rejected term,"Delta City, UT -- Note added 12/6/13 12:39",,6/6/13 18:08,,
denning.us,,,New York,,,,6/6/13 18:08,,
Department of Commerce (DOC),,,,,,,8/11/17 14:00,,
Department of Labor,,,,,,,5/11/17 17:09,,
Department of Labor (DOL),,,,,,,8/11/17 14:00,,
Department of the Treasury,,,,,,,8/11/17 14:00,,
desotoms.com,,County Government,Mississippi,Deprecated,Redirects to http://www.desotocountyms.gov/ so entry no longer needed -- Note added 8/26/13 19:25,,6/6/13 18:08,,
dfwinfo.com,,,Texas,,,,6/6/13 18:08,,
dickensoncountyvirginia.org,,County Government,,,,,8/2/13 14:03,,
digitaldecatur.com,,,,,,,7/15/13 15:33,,
digitalgovernment.org,,,,rejected term,The National Science Foundation's Digital Government Research Program -- Note added 11/22/13 15:13,,6/6/13 18:08,,
dinuba.org,,,California,,,,6/6/13 18:08,,
discovercorona.com,,,California,,,,6/6/13 18:08,,
discovercraftnc.org,,,,Redirected,Redirects to http://ncarts.org/  -- Note added 11/20/13 12:24,,6/6/13 18:08,,
discoverknoxville.com,,Local Government,Iowa,rejected term,"City of Knoxville, IA -- Note added 12/5/13 19:37",,12/5/13 19:37,,
dlssonline.com,,,,Redirected,"Per http://web.archive.org/web/20111021051658/http://www.dlssonline.com/, redirects to https://www.myedaccount.com/  -- Note added 11/20/13 15:18",,11/20/13 15:16,,
dmvnv.com,,,Nevada,,,,6/6/13 18:08,,
doe.k12.ga.us,,,,Redirected,www.doe.k12.ga.us redirects to http://www.gadoe.org/Pages/Home.aspx  -- Note added 11/18/13 19:05,,11/18/13 19:04,,
doe.k12.hi.us,,,,Redirected,www.doe.k12.hi.us redirects to http://www.hawaiipublicschools.org/Pages/home.aspx  -- Note added 11/18/13 18:33,,11/18/13 18:03,,
doe.vi,,,,Redirected,http://www.doe.vi/ redirects to http://www.vide.vi.  -- Note added 8/18/14 14:08,,8/18/14 14:08,,
doegenomestolife.org,,,,rejected term,U.S. Department of Energy Genomic Science program - redirects to genomicscience.energy.gov -- Note added 6/14/13 19:08,,6/6/13 18:08,,
doeleadershipcomputing.org,,Federal Government,,,,,4/18/17 21:06,,
doemedicalsciences.org,,Federal Government,,,,,4/18/17 21:06,,
doemeispp.org,,Federal Government,,,,,4/18/17 21:06,,
doj.us,,,,rejected term,U.S. Department of Justice. This .us domain is a mirror of http://www.doj.gov.  -- Note added 11/13/13 18:18,,11/13/13 18:17,,
doorkickers.org,,Local Government,Pennsylvania,rejected term,"Citizens Fire Company #2, Mahanoy City, PA -- Note added 9/15/14 19:48",,6/6/13 18:08,,
downeyca.org,,,California,,,,6/6/13 18:08,,
drycreekrancheria.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
ds-osac.org,,Federal Government,,rejected term,"German language counterpart for the Overseas Security Advisory Council blog I Bureau of Diplomatic Security, U.S. Department of State. -- Note added 3/24/14 15:21",,6/6/13 18:08,,
dumfriesvirginia.org,,Local Government,Virgina,rejected term,"Town of Dumfries, VA -- Note added 11/18/13 17:57",,6/6/13 18:08,,
dunkirkny.com,,,,,,,7/31/13 16:15,,
dushore.com,,,,rejected term,"Borough of Dushore, PA -- Note added 11/10/15 19:59",,6/6/13 18:08,,
eagar.com,,Local Government,Arizona,rejected term,"Town of Eagar, AZ -- Note added 12/13/13 13:04",,6/6/13 18:08,,
eaglemountaincity.org,,Local Government,,,,,8/2/13 14:04,,
eaglepasstx.us,,,Texas,,,,6/6/13 18:08,,
earthsystemcurator.org,,,,rejected term,Earth System Research Laboratory - redirects to http://www.esrl.noaa.gov/nesii/  -- Note added 3/20/14 15:37,,6/6/13 18:08,,
eastbethel.govoffice.com,,,,,,,6/6/13 18:09,,
easternshoshone.net,,,,rejected term,"Eastern Shoshone Tribe of the Wind River Reservation, WY -- Note added 7/24/13 14:15",,6/6/13 18:08,,
easthamptonvillage.org,,Local Government,New York,,,,6/6/13 18:08,,
eastlandcountytexas.com,,County Government,Texas,,,,6/6/13 18:08,,
easton.me.us,,,,,,,11/10/15 17:22,,
eastvalecity.org,,Local Government,California,,,,6/6/13 18:08,,
edgewaterco.com,,,,,,,7/31/13 16:17,,
educationinarkansas.com,,,,rejected term,"Education in Arkansas, Arkansas Blue Ribbon Commission on Public Education -- Note added 10/30/15 16:08",,10/30/15 16:07,,
educationusa.info,,Federal Government,,rejected term,"Education USA, U.S. Department of State -- Note added 12/4/15 15:14",,12/4/15 15:13,,
edwardsaquifer.org,,,Texas,,,,6/6/13 18:08,,
edwardsburg.biz,,,,rejected term,"Redirects to http://edwardsburgchamber.org, the Edwardsburg (Michigan) Area Chamber of Commerce. -- Note added 12/5/13 20:21",,6/6/13 18:08,,
edwardscountytexas.us,,County Government,Texas,,,,6/6/13 18:08,,
edwardsny.org,,,New York,,,,6/6/13 18:08,,
egappreviews.org,,,,,,,6/17/13 15:33,,
elbaalabama.net,,,,rejected term,Elba (Alabama) Chamber of Commerce -- Note added 7/15/13 15:35,,6/6/13 18:08,,
eldonmo.org,,,,,,,7/31/13 16:20,,
elemnation.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
elizabethtown-ny.com,,Local Government,New York,Deprecated,Former town website. See historical snapshot at:  http://web.archive.org/web/20120204052952/http://www.elizabethtown-ny.com/  -- Note added 12/6/13 15:39,,6/6/13 18:08,,
elizabethtownship.org,,Local Government,,,,,11/10/15 20:01,,
elk-valley.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
elkhartcountyindiana.com,,County Government,Indiana,,,,6/6/13 18:08,,
elkocity.com,,Local Government,Nevada,,,,6/6/13 18:08,,
elkocountynv.net,,County Government,Nevada,,,,6/6/13 18:08,,
ellsburgtownship.org,,Local Government,,,,,11/10/15 17:23,,
elmcity.govoffice.com,,Local Government,,,,,3/21/14 19:11,,
elmonte.org,,,California,,,,6/6/13 18:08,,
elsegundo.org,,,California,,,,6/6/13 18:08,,
elwha.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
emmettidaho.com,,County Government,Idaho,rejected term,Gem County (Idaho) Chamber of Commerce -- Note added 7/8/13 13:48,,6/6/13 18:08,,
empiretownship.govoffice.com,,Local Government,,,,,11/18/13 19:07,,
encinonc.com,,,California,,,,6/6/13 18:08,,
encinowatch.com,,,California,,,,6/6/13 18:08,,
ennis-texas.com,,,Texas,,,,6/6/13 18:08,,
epareachit.org,,,,Redirected,Redirects to http://clu-in.org/vendor/ -- Note added 10/24/13 12:53,,6/6/13 18:08,,
epcounty.com,,County Government,Texas,,,,6/6/13 18:08,,
epell.net,,,,,,,7/26/13 18:16,,
erwinny.org,,,New York,,,,6/6/13 18:08,,
escondido.org,,,California,,,,6/6/13 18:08,,
essexjunction.org,,,Vermont,,,,6/6/13 18:08,,
essexnewyork.com,,,,,,,11/18/13 19:15,,
estesnet.com,,,,rejected term,"Visitor Information for Estes Park, CO -- Note added 7/31/13 17:10",,7/31/13 17:10,,
ets.prod.carlson.com,,,,,,,11/10/15 17:03,,
ettpreuse.com,,Federal Government,,,,,4/18/17 20:58,,
eurekawebs.com/cityhall,,Local Government,California,,,,6/6/13 18:08,,
ewingtwp.net,,,,,,,8/2/13 14:23,,
experiencewashington.com,,,,,,,6/6/13 19:11,,
explorecarlinnv.com,,,Nevada,,,,6/6/13 18:08,,
extension.missouri.edu,,,Missouri,,,,6/6/13 18:08,,
extension.uidaho.edu,,,,,,,7/8/13 13:52,,
extension.uiuc.edu,,State Government,Illinois,Deprecated,Redirects to http://web.extension.illinois.edu/state/index.html  -- Note added 11/20/13 15:34,,11/20/13 15:34,,
fairfieldtwp-nj.com,,Local Government,New Jersey,Deprecated,Former township website. See historical snapshot at: http://web.archive.org/web/20110202090426/http://fairfieldtwp-nj.com/  -- Note added 12/6/13 12:54,,12/6/13 12:53,,
fairhavenvt.govoffice2.com,,,,,,,3/21/14 19:13,,
fairoakspark.org,,,California,,,,6/6/13 18:08,,
fairoaksranchtx.org,,,Texas,,,,6/6/13 18:09,,
fairviewtexas.org,,,Texas,,,,6/6/13 18:08,,
fallscity.org,,Local Government,Oregon,rejected term,"Falls City, OR -- Note added 11/10/15 17:28",,11/10/15 17:28,,
fantasyspringsresort.com/prod/cbmi,,Native Sovereign Nation,,,,,6/6/13 18:08,,
fayetteia.com,,Local Government,,Deprecated,Redirects to http://home.windstream.net/fayettecity/  -- Note added 12/6/13 15:58,,12/6/13 15:58,,
fbgtx.org,,,Texas,,,,6/6/13 18:08,,
fccma.org,,Local Government,Florida,rejected term,Florida City and County Management Association -- Note added 7/23/13 19:35,,6/6/13 18:08,,
fcpotawatomi.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
fdocgrower.com,,,Texas,,,,6/6/13 18:08,,
FederalAgencies,,,,,,,5/11/17 17:01,,
fedtraveler.com,,,,,,,11/10/15 17:04,,
filinginoregon.com,,State Government,Oregon,rejected term,Oregon Secretary of State Corporation Division -- Note added 12/6/13 14:03,,6/6/13 18:08,,
